name_ru,name_en
Крепление фары правой,Mounting the right headlight
Крестовина карданного вала,Cardan shaft crosspiece
Кронштейн,Bracket
Кронштейн блока клапанов гидроподвески,Hydraulic suspension valve block bracket
Кронштейн блока управления двигателем,Engine control unit bracket
Кронштейн вискомуфты,Viskomufta bracket
Кронштейн воздушного фильтра,Air Filter bracket
Кронштейн впускного коллектора,Intake manifold bracket
Кронштейн выпускного коллектора,Exhaust manifold bracket
Кронштейн генератора,Generator bracket
Кронштейн гидроусилителя,Power steering bracket
Кронштейн глушителя,Silencer bracket
Кронштейн датчика положения кузова,Body position sensor bracket
Кронштейн двигателя,Engine bracket
Кронштейн зеркала кабины,Cab mirror bracket
Кронштейн компрессора кондиционера,Air conditioner compressor bracket
Кронштейн компрессора пневмоподвески,Air suspension compressor bracket
Кронштейн КПП,Gearbox bracket
Кронштейн крепления амортизатора,Shock absorber mounting bracket
Кронштейн крепления балки подвески,Suspension beam mounting bracket
Кронштейн крепления бампера,Bumper mounting bracket
Кронштейн крепления бампера заднего,Rear bumper mounting bracket
Кронштейн крепления бампера переднего,Front bumper mounting bracket
Кронштейн крепления дверной карты,Door Card Mounting bracket
Кронштейн крепления заднего моста,Rear axle mounting bracket
Кронштейн крепления кабины,Cab mounting bracket
Кронштейн крепления крыла,Wing mounting bracket
Кронштейн крепления крыла переднего левого,Front Left wing mounting bracket
Кронштейн крепления крыла переднего правого,Front right wing mounting bracket
Кронштейн крепления пневмоподушки,Airbag mounting bracket
Кронштейн крепления порога,Threshold mounting bracket
Кронштейн крепления рычага задней подвески,Rear Suspension arm Mounting bracket
Кронштейн крепления рычага передней подвески,Front suspension arm mounting bracket
Кронштейн крепления торсиона,Torsion bar mounting bracket
Кронштейн крепления торсиона кабины,Cab torsion bar mounting bracket
Кронштейн крепления троса КПП,Transmission cable mounting bracket
Кронштейн масляного фильтра,Oil Filter bracket
Кронштейн подножки,Footrest bracket
Кронштейн подрамника,Subframe bracket
Кронштейн подрулевых переключателей,Steering wheel switch bracket
Кронштейн полки багажника,Trunk shelf bracket
Кронштейн полуоси,Half-axle bracket
Кронштейн полурессоры,Bracket semi-springs
Кронштейн порога,Threshold bracket
Кронштейн радиатора,Radiator bracket
Кронштейн рамы,Frame bracket
Кронштейн редуктора,Gearbox bracket
Кронштейн рейлинга,Railing bracket
Кронштейн рессоры,Spring bracket
Кронштейн решетки радиатора,Radiator grille bracket
Кронштейн салона,Interior bracket
Кронштейн стабилизатора,Stabilizer bracket
Кронштейн топливного фильтра,Fuel filter bracket
Кронштейн форсунки омывателя фары,Headlight washer nozzle bracket
Крыло заднее левое,Rear left wing
Крыло заднее правое,Rear right wing
Крыло переднее левое,Front left wing
Крыло переднее правое,Front right wing
Крыльчатка вентилятора (лопасти),Fan impeller (blades)
Крыльчатка вискомуфты,Viskomufta impeller
Крыша,Roof
Крышка (заглушка) задняя фары левой,Cover (plug) of the rear left headlight
Крышка (заглушка) задняя фары правой,Right rear headlight cover (plug)
Крышка (заглушка) рейлинга,Railing cover (plug)
Крышка (пробка) бака AdBlue,AdBlue tank Cap (plug)
Крышка (пробка) радиатора,Radiator cap (plug)
Крышка аккумулятора,Battery cover
Крышка багажника (дверь 3-5),Trunk lid (door 3-5)
Крышка бачка гидроусилителя,Power steering tank cover
Крышка бачка омывателя,Washer tank cover
Крышка бачка тормозной жидкости,Brake fluid tank cover
Крышка блока предохранителей,Fuse box cover
Крышка воздуховода двигателя,Engine duct cover
Крышка высоковольтной батареи,High voltage battery cover
Крышка двигателя задняя,Engine cover rear
Крышка двигателя передняя,Engine cover front
Крышка инструментального ящика,Tool box cover
Крышка коленвала,Crankshaft cover
Крышка корпуса салонного фильтра,Cabin filter housing cover
Крышка КПП,Gearbox cover
Крышка кузова,Body cover
Крышка масляного стакана,Oil cup lid
Крышка омывателя фар,Headlight washer cover
Крышка поводка стеклоочистителя,Wiper Leash Cover
Крышка подушки безопасности водителя,Driver's airbag cover
Крышка подушки безопасности пассажира,Passenger airbag cover
Крышка распредвала,Camshaft cover
Крышка распределителя зажигания,Ignition distributor cap
Крышка редуктора заднего моста,Rear axle gearbox cover
Крышка теплообменника,Heat exchanger cover
Крышка топливного бака,Fuel tank cap
Крюк буксировочный,Tow hook
Крюк капота,Hood hook
Крюк фаркопа съемный,Towbar hook removable
Крючок для одежды,Clothes Hook
Кулак задний левый,Fist rear left
Кулак задний правый,Rear right fist
Кулак поворотный левый,Rotary left fist
Кулак поворотный правый,Right rotary fist
Кулачковая шайба ТНВД,Fuel pump cam washer
Кулиса,Backstage
Кунг (будка),Kung (booth)
Лампа контрольная щитка приборов (приборной панели),Instrument panel control lamp (dashboard)
Лампочка,Light bulb
Лапка сцепления,Clutch foot
Лебедка,Winch
Лента тормозная АКПП,Automatic transmission brake tape
Лепестки подрулевые переключения передач,Rudder shift paddles
Лестница на крышку багажника,Ladder to the trunk lid
Лестница спальника,Sleeping Bag Ladder
Линза фары,Headlight lens
Личинка дверного замка,The larva of the door lock
Личинка замка багажника,Trunk lock larva
Личинка замка зажигания,The larva of the ignition lock
Лонжерон левый,Left spar
Лонжерон правый,Right spar
Люк,The hatch
Лючок порта зарядки,Charging port hatch
Лючок топливного бака,Fuel tank hatch
Лямбда-зонд,Lambda probe
Магнитола,Radio tape recorder
Маслозаборник,Oil intake
Маслозаливная горловина,Oil filler neck
Маслоотделитель (сапун),Oil separator (breather)
Маслоохладитель вариатора,Variator oil cooler
Маслоприемник,Oil receiver
Масляная магистраль,Oil line
Масляная трубка распредвала,Camshaft Oil tube
Масляная трубка турбины,Turbine Oil tube
Масляная форсунка,Oil nozzle
Матрас спальника,Sleeping bag mattress
Маховик,Flywheel
Маховик АКПП (драйв плата),Automatic transmission flywheel (drive board)
Маятник задней балки,Rear beam pendulum
Межсетевой преобразователь KGM,KGM Inter-network converter
Мембрана клапанной крышки,Valve cover diaphragm
Механизм (прочие),Mechanism (other)
Механизм заднего стеклоочистителя,Rear wiper mechanism
Механизм изменения длины впускного коллектора,Mechanism for changing the length of the intake manifold
"Механизм натяжения ремня, цепи","Belt tension mechanism, chain"
Механизм переключения передач,Gearshift mechanism
Механизм подачи ремня безопасности,Seat belt feed mechanism
Механизм подъема запаски,Spare wheel lifting mechanism
Механизм подъема крышки (двери) багажника,Mechanism for lifting the trunk lid (door)
Механизм развода задних тормозных колодок левый,Rear brake pads separation mechanism left
Механизм развода задних тормозных колодок правый,The mechanism of separation of the rear brake pads is right
Механизм регулировки высоты ремня безопасности,Seat belt height adjustment mechanism
Механизм ручника (стояночного тормоза),Handbrake mechanism (parking brake)
Механизм сдвижной двери,Sliding door mechanism
Механизм складывания крыши,Roof folding mechanism
Механизм стеклоочистителя (трапеция дворников),Wiper mechanism (trapezoid wipers)
Механизм электрорегулировки зеркала наружного левого,The mechanism of electric adjustment of the external left mirror
Механизм электрорегулировки зеркала наружного правого,The mechanism of electric adjustment of the mirror of the outer right
Мехатроник,Mechatronics
Микрофон,Microphone
Минусовой провод аккумулятора,Negative battery wire
Модем,Modem
Модуль громкой связи,Hands-free communication module
Модуль зарядки аккумулятора (АКБ),Battery Charging Module (Battery)
Модуль светодиодной подсветки,LED backlight module
Молдинг (накладка кузовная),Molding (body trim)
Молдинг бампера заднего,Rear bumper molding
Молдинг бампера переднего,Front bumper molding
Молдинг дверей (комплект),Door molding (set)
Молдинг двери задней левой,Door molding rear left
Молдинг двери задней правой,Door molding rear right
Молдинг двери передней левой,Front left
Молдинг двери передней правой,door molding Front right door molding
Молдинг кабины,Cabin molding
Молдинг капота,Hood molding
Молдинг крыла,Wing molding
Молдинг крыла заднего левого,Molding of the rear left wing
Молдинг крыла заднего правого,Molding of the rear right wing
Молдинг крыла переднего левого,Molding of the front left wing
Молдинг крыла переднего правого,Molding of the front right wing
Молдинг крыши,Roof molding
Молдинг решетки радиатора,Radiator grille molding
Молдинг стекла двери задней левой внутренний,Glass molding of the door rear left inner
Молдинг стекла двери задней левой наружный,glass molding of the door rear left outer
Молдинг стекла двери задней правой внутренний,glass molding of the door rear right inner
Молдинг стекла двери задней правой наружный,glass molding of the door rear right outer
Молдинг стекла двери наружный,glass molding of the door outer
Молдинг стекла двери передней левой внутренний,glass molding of the door front left inner
Молдинг стекла двери передней левой наружный,glass molding of the door front left outer
Молдинг стекла двери передней правой внутренний,glass molding of the door front right inner
Молдинг стекла двери передней правой наружный,glass molding of the door front right outer
Молдинг стекла заднего,glass molding of the rear
Молдинг стекла лобового,Molding of the windshield glass
Монитор,Screen
Моновпрыск,Monovprysk
Морда-рама,Muzzle-frame
Мост задний,Rear axle
Мост передний,Front axle
Мото багажник,Moto trunk
Мото брызговик задний,Moto rear mudguard
Мото ветровое стекло,Moto windscreen
Мото вилка передняя,Moto fork front
Мото кардан,Moto Gimbal
Мото клипон левый,Moto clipon left
Мото клипон правый,Moto clipon right
Мото колесо заднее,Motorcycle wheel rear
Мото колесо переднее,Moto front wheel
Мото кофр задний левый,Motorcycle trunk rear left
Мото кофр задний правый,Motorcycle trunk rear right
Мото кофр задний центральный,Motorcycle trunk rear central
Мото кран топливный,Motorcycle fuel crane
Мото крыло заднее,Motorcycle rear wing
Мото крыло переднее,Moto front wing
Мото машинка сцепления,Moto Clutch machine
Мото машинка тормоза заднего,Moto car Rear brake
Мото машинка тормоза переднего,Moto car Front brake
Мото паук (крепление пластика и фары),Moto spider (plastic mount and headlights)
Мото переключатель (пульт) руля левый,Moto steering wheel switch (remote control) left
Мото пластик,Moto plastic
Мото подножка боковая,Moto side footrest
Мото подножка центральная,Moto central footrest
Мото пружина подножки боковой,Moto spring of the side footrest
Мото рама,Moto frame
Мото редуктор,Moto gearbox
Мото ремень приводной,Moto belt drive
Мото ротор генератора,Moto generator rotor
Мото ручки руля (грипсы),Moto steering wheel handles (grips)
Мото рычаг заднего тормоза,Moto Rear Brake Lever
Мото рычаг переднего тормоза,Moto Front brake lever
Мото рычаг сцепления,Moto Clutch Lever
Мото сиденье,Moto seat
Мото спинка пассажирского сиденья,Moto passenger seat back
Мото статор генератора,Moto Generator stator
Мото стойка заднего крыла,Moto Rear Wing Strut
Мото суппорт,Moto caliper
Мото указатель поворота,Moto turn signal
Мото фара,Moto headlight
Мото фонарь,Moto lantern
Мото цепь,Moto Chain
Моторчик (насос) подъема крышки багажника (3-5 двери),Trunk lid lift motor (pump) (3-5 doors)
Моторчик ASC,ASC motor
Моторчик Easytronic,Easytronic motor
Моторчик VVT (эксцентрикового вала),VVT (Eccentric shaft) motor
Моторчик блокировки заднего моста,Rear axle lock motor
Моторчик блокировки межосевого дифференциала,The motor for locking the center differential
Моторчик блокировки переднего моста,Front axle locking motor
Моторчик вентиляции сиденья переднего,Front seat ventilation motor
Моторчик заднего стеклоочистителя (дворника),Rear wiper motor (wiper)
Моторчик замка двери,Door lock motor
Моторчик заслонки печки,The motor of the oven flap
Моторчик открывания кузовного стекла,The motor for opening the body glass
Моторчик передних стеклоочистителей (дворников),The motor of the front wipers (wipers)
Моторчик печки,Stove motor
Моторчик регулировки сиденья,Seat adjustment motor
Моторчик ручника (стояночного тормоза),Handbrake motor (parking brake)
Моторчик стеклоочистителя фар,Headlight wiper motor
Моторчик стеклоподъемника,Window lifter motor
Моторчик стеклоподъемника задний левый,Window lifter motor rear left
Моторчик стеклоподъемника задний правый,Window lifter motor rear right
Моторчик стеклоподъемника передний левый,Window lifter motor front left
Моторчик стеклоподъемника передний правый,Window lifter motor front right
Мультипликатор (клапан) форсунки,Multiplier (valve) of the nozzle
Муфта Haldex,Haldex Coupling
Муфта вентилятора,Fan coupling
Муфта включения переднего моста (хаб),Front axle coupling (hub)
Муфта включения полного привода,All-wheel drive clutch
Муфта кардана,Cardan coupling
Муфта компрессора кондиционера,Air conditioner compressor coupling
Муфта обгонная АКПП,Automatic transmission overrunning clutch
Муфта обгонная генератора,Generator overrunning clutch
Муфта распредвала,Camshaft coupling
Набор инструментов штатный,The set of tools is standard
Нагнетатель воздуха (компрессор),Air blower (compressor)
Накладка (ресничка) левой фары,The cover plate (cilia) of the left headlight
Накладка (ресничка) правой фары,Patch (eyelash) of the right headlight
Накладка (удлинитель) двери левой,Cover plate (extension) of the left door
Накладка (удлинитель) двери правой,Cover plate (extension) of the right door
Накладка боковая на сиденье,Side trim on the seat
Накладка внутренняя на заднюю панель кузова,Inner lining on the rear panel of the body
Накладка двери (крышки) багажника,Trunk door (lid) trim
Накладка двери задней левой,Rear left door trim
Накладка двери задней правой,Rear right door trim
Накладка двери передней левой,Front left door trim
Накладка двери передней правой,Front right door trim
Накладка декоративная,Decorative overlay
Накладка декоративная на торпедо,Decorative trim on the torpedo
Накладка декоративная салона (комплект),Decorative interior trim (set)
Накладка декоративная центральной консоли,Decorative trim of the center console
Накладка замка капота,Hood lock trim
Накладка крыла (уголок зеркала) переднего левого,Fender trim (mirror corner) front left
Накладка крыла (уголок зеркала) переднего правого,Wing cover (corner of the mirror) of the front right
Накладка на бампер,Bumper trim
Накладка на зеркало,Mirror overlay
Накладка на зеркало левое,The overlay on the left mirror
Накладка на зеркало правое,Overlay on the right mirror
Накладка на педаль,Pedal pad
Накладка на порог,Door sill trim
Накладка на ручку двери,Door handle trim
Накладка под номер,Pad under the number
Накладка под фонарь левый,The cover plate under the lamp is left
Накладка под фонарь правый,The cover plate under the right lamp
Накладка подсветки номера,Number illumination overlay
Накладки (реснички) фар (комплект),Headlight pads (cilia) (set)
Наклейка,Sticker
Наконечник рулевой,Steering tip
Наконечник свечной,Candle Tip
Направляющая задней распашной двери,Rear swing door guide
Направляющая крышки багажника,Trunk lid guide
Направляющая сдвижной двери,Sliding door guide
Направляющая стекла,Glass guide
Направляющая трубка для троса ручника (стояночного тормоза),Guide tube for handbrake cable (parking brake)
Направляющая шторки багажника (салазки),Trunk curtain guide (sled)
Насадка на глушитель,Muffler nozzle
Насос (модуль) AdBlue,AdBlue Pump (module)
Насос (моторчик) омывателя стекла,Glass washer pump (motor)
Насос (моторчик) омывателя стекла заднего,Rear window washer pump (motor)
Насос (моторчик) омывателя фар,Headlight washer pump (motor)
Насос DSC,DSC pump
Насос Haldex,Haldex Pump
Насос АКПП,Automatic transmission pump
Насос активного стабилизатора,Active Stabilizer pump
Насос антифриза дополнительный,Antifreeze pump optional
Насос вакуумный,Vacuum pump
Насос воздушный,Air pump
Насос гидравлический (отбора мощности),Hydraulic pump (power take-off)
Насос гидравлический подъема крыши,Hydraulic Roof Lift pump
Насос гидроподвески,Hydraulic suspension pump
Насос гидроусилителя руля,Power steering pump
Насос масляный,Oil pump
Насос обдува форсунок,Nozzle blowing pump
Насос подъёма кабины,Cab lift pump
Насос продувки катализатора,Catalyst Purge Pump
Насос тандемный,Tandem pump
Насос топливный,Fuel pump
Насос топливный автономного отопителя,Fuel pump of the autonomous heater
Насос топливный ручной (подкачка),Manual fuel pump (pumping)
Насос топливоподкачивающий ТНВД,Fuel pump fuel injection pump
Насос центральной смазки,Central lubrication pump
Насосная станция гидроборта,Hydraulic transport pumping station
"Насосная станция, PLD-секция","Pumping station, PLD section"
Натяжитель,Tensioner
Натяжитель ремня генератора,Generator Belt Tensioner
Натяжитель ремня ГРМ,Timing belt tensioner
Натяжитель цепи,Chain Tensioner
Наушники,Headphones
Ниша запасного колеса,Spare wheel niche
Обвес (комплект),Body kit (set)
Обогреватель высоковольтной батареи,High-voltage battery heater
Обшивка багажника,Trunk trim
Обшивка багажника переднего,Front trunk trim
Обшивка дверей (комплект),Door trim (set)
Обшивка двери задней левой (дверная карта),Rear left door trim (door card)
Обшивка двери задней правой (дверная карта),Right rear door trim (door card)
Обшивка двери передней левой (дверная карта),Front left door trim (door card)
Обшивка двери передней правой (дверная карта),Front right door trim (door card)
Обшивка крышки багажника,Trunk lid trim
Обшивка салона,Interior trim
Обшивка сидений,Seat trim
Обшивка стойки,Rack trim
Обшивка стойки задней левой,Rear left rack trim
Обшивка стойки задней правой,Rear right rack trim
Обшивка стойки передней левой,Front left rack trim
Обшивка стойки передней правой,Front right rack trim
Обшивка стойки центральной левой,Lining of the central left rack
Обшивка стойки центральной правой,Covering of the central right rack
Ограничитель открывания двери,Door opening limiter
Ограничитель открывания двери задней,Rear door opening limiter
Ограничитель открывания двери передней,Limiter for opening the front door
Омыватель левой фары,Left headlight washer
Омыватель правой фары,Right headlight washer
Опора амортизатора верхняя (чашка),Shock absorber upper support (cup)
Опора амортизатора нижняя (чашка),Shock absorber lower support (cup)
Опора под домкрат (поддомкратная подушка),Support for the jack (jack cushion)
Опора радиатора,Radiator support
Опорная площадка для ноги,Foot support platform
Осушитель,Dehumidifier
Ось колеса,Wheel axle
Ось коромысел,Rocker arm axis
Отбойник амортизатора,Shock absorber bump
Отбойник бампера заднего,Rear bumper bump
Отбойник бампера переднего,Front bumper bump
Отбойник капота (демпфер),Hood bump (damper)
Отбойник подвески,Suspension bump
Ответная часть (скоба) замка двери,The mating part (bracket) of the door lock
Ответная часть замка багажника,The second part of the trunk lock
Отопитель в сборе (печка),Heater assembly (stove)
Отопитель гибридного модуля,Hybrid module heater
Отражатель фары,Headlight reflector
Охладитель отработанных газов,Exhaust Gas cooler
Охладитель тягового аккумулятора,Traction Battery Cooler
Очечник,Eyeglass case
Очко фары левой,Left headlight point
Очко фары правой,Right headlight point
Панель (плата) фонаря заднего левого,Panel (board) of the rear left lamp
Панель (плата) фонаря заднего правого,Panel (board) of the rear right lamp
Панель кодового замка,Combination lock panel
Панель передняя салона (торпедо),Front passenger compartment panel (torpedo)
Панель управления магнитолой,Radio control panel
Парктроник задний,Rear parking sensor
Парктроник передний,Front parking sensor
Патрон лампы фары,Lamp holder headlights
Патрон лампы фонаря,Lamp holder of the lantern
"Патрубок (трубопровод, шланг)","Branch pipe (pipeline, hose)"
Патрубок автономного отопителя,Branch pipe of an autonomous heater
Патрубок вентиляции картера,Crankcase ventilation pipe
Патрубок воздушного фильтра,Air filter nozzle
Патрубок впускного коллектора,Intake manifold pipe
Патрубок интеркулера,Intercooler pipe
Патрубок отопителя (печки),Pipe of the heater (stove)
Патрубок радиатора,Radiator nozzle
Патрубок расширительного бачка,Expansion tank nozzle
Патрубок турбины,Turbine nozzle
Педаль,Pedal
Педаль газа,Gas pedal
Педаль стояночного тормоза,Parking brake pedal
Педаль сцепления,Clutch pedal
Педаль тормоза,Brake pedal
Пепельница,Ashtray
Перегородка грузового (пассажирского) отсека,Cargo (passenger) compartment partition
Перегородка моторного отсека,Engine compartment partition
Передняя панель крепления облицовки (телевизор),The front panel of the lining mounting (TV)
Передняя часть (ноускат) в сборе,Front part (noskat) assembly
Передняя часть кузова,The front part of the body
Переключатель дворников,Wiper switch
Переключатель круиз-контроля,Cruise control switch
Переключатель отопителя (печки),Heater (stove) switch
Переключатель поворотов,Turn switch
Переключатель подрулевой (стрекоза),Steering wheel switch (dragonfly)
Переключатель подрулевой АКПП,Automatic steering gear switch
Переключатель подрулевой управления ретардером,Retarder steering wheel control switch
Переключатель полного привода,All-wheel drive switch
Переключатель света,Light switch
Перемычка рамы,Frame jumper
Переходник EGR,EGR Adapter
Переходник для зарядки,Charging adapter
Петля двери,Door hinge
Петля двери задней левой,Rear left door hinge
Петля двери задней правой,Rear right door hinge
Петля двери передней левой,Front left door hinge
Петля двери передней правой,Front right door hinge
Петля заднего стекла,Rear window hinge
Петля капота,Hood loop
Петля капота левая,Hood loop left
Петля капота правая,Hood loop right
Петля крышки багажника,Trunk lid hinge
Петля спального места,Sleeping place loop
Пиропатрон,Pyropatron
Пиропатрон петли капота,Hood loop Pyropatron
Планка кассеты радиаторов нижняя,Radiator cassette lower bar
Планка крепления аккумулятора,Battery mounting bracket
Планка под капот,Plank under the hood
Пластик,Plastic
Пластик багажника,Plastic trunk
Пластик моторного отсека,Plastic of the engine compartment
Пластик салазок сиденья,Plastic sled seats
Пластик салона,Plastic interior
Платформа,Platform
Площадка регулировочная подвески,Suspension adjustment platform
Плунжерная пара,Plunger pair
Плюсовой провод аккумулятора,Positive battery wire
Пневмогидроусилитель сцепления,Pneumatic hydraulic clutch booster
Пневмоподушка,Air bag
Пневмоподушка подвески кабины,Cabin suspension airbag
Пневмостойка задняя,Rear air resistance
Пневмостойка передняя,Front air resistance
Поворотник левый,Left turn signal
Поворотник правый,Right turn signal
Повторитель в зеркало передний левый,Repeater in the mirror front left
Повторитель в зеркало передний правый,Repeater in the mirror front right
Повторитель передний левый,Repeater front left
Повторитель передний правый,Repeater front right
Подвесная ось (ленивец),Suspension axle (sloth)
Подголовник,Headrest
Поддон,Pallet
Поддон КПП,The pallet of the checkpoint
Подиум крепления датчика парктроника,Podium mounting sensor parking sensors
Подлокотник,Armrest
Подножка,Footrest
Подножка кабины левая (входной модуль),Cab footrest left (input module)
Подножка кабины правая (входной модуль),Cab footrest right (input module)
Подогрев бачка омывателя,Heating of the washer tank
Подогрев сиденья,Seat heating
Подогрев топливного фильтра,Fuel filter heating
Подогреватель Adblue,Adblue Heater
Подогреватель охлаждающей жидкости (антифриза),Coolant heater (antifreeze)
Подсветка номера,Room illumination
Подсветка порога,Threshold illumination
Подсветка салона,Interior lighting
Подстаканник,Cup holder
Подушка безопасности,Airbag
Подушка безопасности боковая (в дверь),Side airbag (in the door)
Подушка безопасности боковая (в дверь) задняя левая,Side airbag (in the door) rear left
Подушка безопасности боковая (в дверь) задняя правая,Side airbag (in the door) rear right
Подушка безопасности боковая (в дверь) передняя левая,Side airbag (in the door) front left
Подушка безопасности боковая (в дверь) передняя правая,Side airbag (in the door) front right
Подушка безопасности боковая (в сиденье),Side airbag (in the seat)
Подушка безопасности боковая (шторка),Side airbag (curtain)
Подушка безопасности боковая (шторка) левая,Side airbag (curtain) left
Подушка безопасности боковая (шторка) правая,Side airbag (curtain) right
Подушка безопасности водителя,Driver's airbag
Подушка безопасности коленная,Knee airbag
Подушка безопасности пассажира,Passenger airbag
Подушка кабины,Cabin cushion
Подушка крепления двигателя,Engine mounting cushion
Подушка крепления КПП,Gearbox mounting cushion
Подушка под моновпрыск,Pillow for monovprysk
Подушка рамы,Frame cushion
Подшипник,Bearing
Подшипник выжимной,Release bearing
Подшипник КПП,Gearbox bearing
Подшипник опорный,Bearing support
Подшипник полуоси подвесной,Suspension axle bearing
Подшипник рулевой рейки,Steering Rack Bearing
Подшипник ступицы,Hub Bearing
Подъемник шторки,Curtain Lift
Пол багажника,Trunk floor
Полка аккумулятора,Battery shelf
Полка багажника,Trunk shelf
Полка над лобовым стеклом,Shelf above the windshield
Полка под руль,Shelf under the steering wheel
Полка спальника,Sleeping bag shelf
"Полуось (приводной вал, ШРУС)","Semi-axle (drive shaft, SHRUS)"
"Полуось задняя (приводной вал, ШРУС)","Rear axle (drive shaft, SHRUS)"
"Полуось передняя левая (приводной вал, ШРУС)","Front left half-axle (drive shaft, SHRUS)"
"Полуось передняя правая (приводной вал, ШРУС)","Front right half-axle (drive shaft, SHRUS) of the half-spring"
Полурессора,Semi - aggressor
Полурессора задняя,Rear half - spring
Помпа,Pump
Порог левый,Threshold left
Порог правый,The threshold is right
Пороги (комплект),Thresholds (set)
Порт зарядный,Charging port
Поручень,Handrail
Поршень,The piston
Поршень опережения впрыска ТНВД,Fuel injection advance piston
Поршень суппорта,Caliper piston
Поршневые кольца,Piston rings
Постель коленвала,Crankshaft bed
Постель распредвала (бугель),Camshaft bed (bugle)
Потолок,Ceiling
Преднатяжитель ремня безопасности,Seat belt tensioner
Предохранитель высоковольтный,High-voltage fuse
Преобразователь давления (соленоид наддува/EGR),Pressure converter (boost solenoid/EGR)
Преобразователь напряжения,Voltage Converter
Привод вентилятора вискомуфты,Viscomuff fan drive
Привод заслонки дроссельной,Throttle valve drive
Привод круиз-контроля,Cruise control drive
Привод масляного насоса,Oil pump drive
Привод ТНВД,Fuel pump drive
Прикуриватель,Cigarette lighter
Прицепное устройство (фаркоп),Trailer hitch (towbar)
Пробка КПП,Checkpoint traffic jam
Пробка маслозаливная,Oil filling tube
Пробка расширительного бачка,Expansion tank plug
Пробка топливного бака,Fuel tank plug
Провод (кабель) камеры,Camera wire (cable)
Провод USB,USB Wire
Провод высоковольтный,High voltage wire
Провод датчика ABS,ABS sensor wire
Провод массы,Mass wire
Проводка,Wiring
Проводка (планка) свечей накала,Wiring (strip) of glow plugs
Проводка бампера заднего,Rear bumper wiring
Проводка бампера переднего,Front bumper wiring
Проводка двери,Door wiring
Проводка двигателя,Motor wiring
Проводка КПП,Checkpoint wiring
Проводка крышки багажника,Trunk lid wiring
Проводка салона,Interior wiring
Проводка фары,Headlight wiring
Проектор,Projector
Прокладка,Pad
Прокладка впускного коллектора,Intake manifold gasket
Прокладка выпускного коллектора,Exhaust manifold gasket
Прокладка ГБЦ,Cylinder head gasket
Прокладка глушителя,Muffler gasket
Прокладка катализатора,Catalyst gasket
Прокладка клапанной крышки,Valve cover gasket
Прокладка КПП (пластина),Gearbox gasket (plate)
Прокладка поддона АКПП,Automatic transmission pallet gasket
Проставки колесные,Wheel spacers
Проставки под балку подвески заднюю,Spacers for the rear suspension beam
Проставки под балку подвески переднюю (подрамник),Spacers for the front suspension beam (stretcher)
Проставки под пружины,Spacers for springs
Прочая запчасть,Other spare parts
Пружина задняя,Rear spring
Пружина крышки багажника,Trunk lid spring
Пружина передняя,Front spring
Пружина петли капота,Hood hinge spring
Пружина подвески кабины,Cab suspension spring
Пульт управления автономным отопителем,Autonomous heater control panel
Пульт управления гидроборта,Hydroboard control panel
Пульт управления лебедкой,Winch control panel
Пульт управления мультимедиа,Multimedia control panel
Пульт управления пневмоподвеской,Air suspension control panel
Пульт управления седельно-сцепным устройством,The control panel of the hitch
Пыльник,Anther
Пыльник амортизатора,Shock absorber dust cover
Пыльник двигателя,Engine dust cover
Пыльник крыла заднего левого,Rear left wing anther
Пыльник крыла заднего правого,Rear right wing anther
Пыльник крыла переднего левого,Anther of the front left wing
Пыльник крыла переднего правого,Anther of the front right wing
Пыльник рулевой рейки,Steering rack dust cover
Радар,Radar
Радиатор (дополнительный),Radiator (additional)
Радиатор (основной),Radiator (main)
Радиатор EGR,EGR radiator
Радиатор АКПП,Automatic transmission radiator
Радиатор гидроподвески,Hydraulic suspension radiator
Радиатор гидроусилителя,Power steering radiator
Радиатор инвертора,Inverter radiator
Радиатор кондиционера,Air conditioner radiator
Радиатор масляный,Oil radiator
Радиатор отопителя (печки),Radiator of the heater (stove)
Радиатор ретардера,Retarder radiator
Радиатор топлива,Fuel radiator
Радиостанция (рация),Radio station (walkie-talkie)
Раздаточная коробка,Transfer case
Разъем (фишка) проводки,Connector (chip) wiring
Разъем AUX / USB,AUX / USB connector
Рама,Frame
Рамка (накладка) рычага КПП,Frame (cover plate) of the gearbox lever
Рамка блока управления печки/климат-контроля,The frame of the stove control unit / climate control
Рамка двери задней левой,Rear left door frame
Рамка двери задней правой,Rear right door frame
Рамка двери передней левой,Front left door frame
Рамка двери передней правой,Front right door frame
Рамка зеркала наружного левого,Outer left mirror frame
Рамка зеркала наружного правого,Outer right mirror frame
Рамка капота,Hood frame
Рамка под магнитолу,Frame for the radio
Рамка решетки радиатора,Radiator grille frame
Рамка фары противотуманной левой,Fog lamp frame left
Рамка фары противотуманной правой,Right fog lamp frame
Распорка стоек,Strut struts
Распорная планка,Spacer bar
Распредвал,Camshaft
Распределитель впрыска (инжектор),Injection distributor (injector)
Распределитель зажигания (трамблёр),Ignition distributor (trambler)
Распределитель тока,Current distributor
Распределитель тормозной силы,Brake force distributor
Растяжка передка,Stretching the front
Расходомер воздуха,Air Flow meter
Расширители арок,Arch extenders
Регулятор давления топлива,Fuel pressure regulator
Регулятор дорожного просвета задний,Rear ground clearance regulator
Регулятор дорожного просвета передний,Ground clearance regulator front
Регулятор напряжения,Voltage regulator
Редуктор АКПП,Automatic transmission gearbox
